HD02_VD76,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Truck transportation"
HD01_VD77,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - U. S. Postal service"
HD02_VD77,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - U. S. Postal service"
HD01_VD78,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Other transportation, and support activities, and couriers"
HD02_VD78,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Other transportation, and support activities, and couriers"
HD01_VD79,"Estimate; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Warehousing and storage"
HD02_VD79,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Transportation and warehousing: - Warehousing and storage"
HD01_VD80,"Estimate; Male: - Transportation and warehousing, and utilities: - Utilities"
HD02_VD80,"Margin of Error; Male: - Transportation and warehousing, and utilities: - Utilities"
HD01_VD81,Estimate; Male: - Information:
HD02_VD81,Margin of Error; Male: - Information:
HD01_VD82,"Estimate; Male: - Information: - Publishing, and motion picture and sound recording industries"
HD02_VD82,"Margin of Error; Male: - Information: - Publishing, and motion picture and sound recording industries"
HD01_VD83,"Estimate; Male: - Information: - Broadcasting, internet publishing, and telecommunications services"
HD02_VD83,"Margin of Error; Male: - Information: - Broadcasting, internet publishing, and telecommunications services"
HD01_VD84,"Estimate; Male: - Information: - Data processing, libraries, and other information services"
HD02_VD84,"Margin of Error; Male: - Information: - Data processing, libraries, and other information services"
HD01_VD85,"Estimate; Male: - Finance and insurance, and real estate and rental and leasing:"
HD02_VD85,"Margin of Error; Male: - Finance and insurance, and real estate and rental and leasing:"
HD01_VD86,"Estimate; Male: - Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HD02_VD86,"Margin of Error; Male: - Finance and insurance, and real estate and rental and leasing: - Finance and insurance"
HD01_VD87,"Estimate; Male: - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HD02_VD87,"Margin of Error; Male: - Finance and insurance, and real estate and rental and leasing: - Real estate and rental and leasing"
HD01_VD88,"Estimate; Male: - Professional, scientific, and management, and administrative and waste management services:"
HD02_VD88,"Margin of Error; Male: - Professional, scientific, and management, and administrative and waste management services:"
HD01_VD89,"Estimate; Male: - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HD02_VD89,"Margin of Error; Male: - Professional, scientific, and management, and administrative and waste management services: - Professional, scientific, and technical services"
HD01_VD90,"Estimate; Male: - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HD02_VD90,"Margin of Error; Male: - Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HD01_VD91,"Estimate; Male: - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HD02_VD91,"Margin of Error; Male: - Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HD01_VD92,"Estimate; Male: - Educational services, and health care and social assistance:"
HD02_VD92,"Margin of Error; Male: - Educational services, and health care and social assistance:"
HD01_VD93,"Estimate; Male: - Educational services, and health care and social assistance: - Educational services"
HD02_VD93,"Margin of Error; Male: - Educational services, and health care and social assistance: - Educational services"
HD01_VD94,"Estimate; Male: - Educational services, and health care and social assistance: - Health care and social assistance:"
HD02_VD94,"Margin of Error; Male: - Educational services, and health care and social assistance: - Health care and social assistance:"
HD01_VD95,"Estimate; Male: - Educational services, and health care and social assistance: - Health care and social assistance: - Health care"
HD02_VD95,"Margin of Error; Male: - Educational services, and health care and social assistance: - Health care and social assistance: - Health care"
HD01_VD96,"Estimate; Male: - Educational services, and health care and social assistance: - Health care and social assistance: - Social assistance"
HD02_VD96,"Margin of Error; Male: - Educational services, and health care and social assistance: - Health care and social assistance: - Social assistance"
HD01_VD97,"Estimate; Male: - Arts, entertainment, and recreation, and accommodation and food services:"
HD02_VD97,"Margin of Error; Male: - Arts, entertainment, and recreation, and accommodation and food services:"
HD01_VD98,"Estimate; Male: - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HD02_VD98,"Margin of Error; Male: - Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HD01_VD99,"Estimate; Male: - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HD02_VD99,"Margin of Error; Male: - Arts, entertainment, and recreation, and accommodation and food services: - Accommodation and food services"
HD01_VD100,"Estimate; Male: - Other services, except public administration:"
HD02_VD100,"Margin of Error; Male: - Other services, except public administration:"
HD01_VD101,"Estimate; Male: - Other services, except public administration: - Repair and maintenance"
HD02_VD101,"Margin of Error; Male: - Other services, except public administration: - Repair and maintenance"
HD01_VD102,"Estimate; Male: - Other services, except public administration: - Personal and laundry services"
HD02_VD102,"Margin of Error; Male: - Other services, except public administration: - Personal and laundry services"
HD01_VD103,"Estimate; Male: - Other services, except public administration: - Religious, grantmaking, civic, professional, and similar organizations"
HD02_VD103,"Margin of Error; Male: - Other services, except public administration: - Religious, grantmaking, civic, professional, and similar organizations"
